CITYID,ATTRACTIONNAME,NBATTRACTION_NAME,nbattraction_reviewnum,nbattraction_mile
0001,"African Bead Museum","Detroit Institute of Arts","2,321 reviews ","2.26 miles away "
0001,"Ambassador Bridge",Mexicantown,"228 reviews ",".85 miles away "
0001,"Anna Scripps Whitcomb Conservatory","Belle Isle Park","828 reviews ",".14 miles away "
0001,"Beacon Park","Fox Theatre","428 reviews ",".30 miles away "
0001,"Belle Isle Aquarium","Belle Isle Park","828 reviews ",".20 miles away "
0001,"Belle Isle Park","Dossin Great Lakes Museum","115 reviews ",".10 miles away "
0001,"Better Made Snack Foods","Fowling Warehouse","46 reviews ","2.11 miles away "
0001,"Bonstelle Theatre","Comerica Park","2,328 reviews ",".69 miles away "
0001,"Boston Edison Historic District","Detroit Institute of Arts","2,321 reviews ","2.22 miles away "
0001,"Cadillac Square",null,null,null
0001,"Campus Martius Park","The Guardian Building","565 reviews ",".14 miles away "
0001,"Central United Methodist Church","Comerica Park","2,328 reviews ",".06 miles away "
0001,"Century Club","Comerica Park","2,328 reviews ",".17 miles away "
0001,"Charles H. Wright Museum of African American History","Detroit Institute of Arts","2,321 reviews ",".17 miles away "
0001,"Chene Park Amphitheatre","Canadian Club Brand Center","258 reviews ",".71 miles away "
0001,"Cobo Center","The Guardian Building","565 reviews ",".21 miles away "
0001,"College for Creative Studies","Detroit Institute of Arts","2,321 reviews ",".12 miles away "
0001,"Comerica Park","Fox Theatre","428 reviews ",".15 miles away "
0001,"Corktown Historic District","Detroit Symphony Orchestra","117 reviews ",".85 miles away "
0001,"Definitive Style Exclusive","Comerica Park","2,328 reviews ",".22 miles away "
0001,"Detroit City Distillery","Comerica Park","2,328 reviews ",".83 miles away "
0001,"Detroit Cultural Center Historic District","The Guardian Building","565 reviews ",".17 miles away "
0001,"Detroit Downtown","The Guardian Building","565 reviews ",".04 miles away "
0001,"Detroit Historical Museum","Detroit Institute of Arts","2,321 reviews ",".12 miles away "
0001,"Detroit Institute of Arts","The Ford Piquette Avenue Plant","345 reviews ",".64 miles away "
0001,"Detroit Opera House","Comerica Park","2,328 reviews ",".11 miles away "
0001,"Detroit People Mover","Campus Martius Park","225 reviews ",".18 miles away "
0001,"Detroit Public Library","Detroit Institute of Arts","2,321 reviews ",".09 miles away "
0001,"Detroit Repertory Theatre","Polish Art Center","35 reviews ","2.70 miles away "
0001,"Detroit Symphony Orchestra","Detroit Institute of Arts","2,321 reviews ",".80 miles away "
0001,"Detroit-Windsor Tunnel","The Guardian Building","565 reviews ",".21 miles away "
0001,"Dossin Great Lakes Museum","Belle Isle Park","828 reviews ",".10 miles away "
0001,"Earthworks Urban Farms","Canadian Club Brand Center","258 reviews ","1.72 miles away "
0001,"Eastern Market","Comerica Park","2,328 reviews ",".88 miles away "
0001,"Fisher Building","Detroit Institute of Arts","2,321 reviews ",".93 miles away "
0001,"Fisher Mansion","Dossin Great Lakes Museum","115 reviews ","2.74 miles away "
0001,"Fisher Theatre","Detroit Institute of Arts","2,321 reviews ",".96 miles away "
0001,"Ford Field","Comerica Park","2,328 reviews ",".17 miles away "
0001,"Fox Theatre","Comerica Park","2,328 reviews ",".15 miles away "
0001,"Gabriel Richard Park","Canadian Club Brand Center","258 reviews ","1.69 miles away "
0001,"Gem & Century Theatres","Comerica Park","2,328 reviews ",".17 miles away "
0001,"GM Renaissance Center","The Guardian Building","565 reviews ",".30 miles away "
0001,"GM World","The Guardian Building","565 reviews ",".27 miles away "
0001,"Grand Circus Park","Detroit Institute of Arts","2,321 reviews ",".37 miles away "
0001,"Grand River Creative Corridor","Comerica Park","2,328 reviews ",".30 miles away "
0001,"Hart Plaza","The Guardian Building","565 reviews ",".13 miles away "
0001,"Historic Fort Wayne","Dieppe Gardens","191 reviews ","1.88 miles away "
0001,"Historic Trinity Lutheran Church","Comerica Park","2,328 reviews ",".61 miles away "
0001,"Inner State Gallery","Comerica Park","2,328 reviews ",".70 miles away "
0001,"International Institute of Metropolitan Detroit","Detroit Institute of Arts","2,321 reviews ",".11 miles away "
0001,"James Scott Memorial Fountain","Belle Isle Park","828 reviews ",".56 miles away "
0001,"Joe Louis Arena","The Guardian Building","565 reviews ",".42 miles away "
0001,"Joe Louis Monument","The Guardian Building","565 reviews ",".10 miles away "
0001,"Lafayette Greens","The Guardian Building","565 reviews ",".21 miles away "
0001,"Lincoln Street Art Park","Detroit Institute of Arts","2,321 reviews ",".92 miles away "
0001,"Little Caesars Arena","Comerica Park","2,328 reviews ",".40 miles away "
0001,"Mariner Park","Belle Isle Park","828 reviews ","3.22 miles away "
0001,"Masonic Temple","Comerica Park","2,328 reviews ",".61 miles away "
0001,"Matrix Theatre Company","Two James Spirits","59 reviews ",".44 miles away "
0001,"Max M. Fisher Music Center","Detroit Institute of Arts","2,321 reviews ",".80 miles away "
0001,Mexicantown,"Dieppe Gardens","191 reviews ","1.64 miles away "
0001,"MGM Grand Detroit Casino","The Fillmore Detroit","82 reviews ",".48 miles away "
0001,"Michigan Central Station","Two James Spirits","59 reviews ",".18 miles away "
0001,"Michigan Labor Legacy Monument","The Guardian Building","565 reviews ",".11 miles away "
0001,"Michigan Science Center","Detroit Institute of Arts","2,321 reviews ",".14 miles away "
0001,"Michigan Soldiers and Sailors Monument","The Guardian Building","565 reviews ",".11 miles away "
0001,"Midtown Detroit Dog Park","Comerica Park","2,328 reviews ",".59 miles away "
0001,"MotorCity Casino","Fox Theatre","428 reviews ",".78 miles away "
0001,"Motown Museum","Fisher Building","223 reviews ",".69 miles away "
0001,"Museum of Contemporary Art","Detroit Institute of Arts","2,321 reviews ",".42 miles away "
0001,"Palmer Park","The Rust Belt Market","83 reviews ","2.56 miles away "
0001,"Penobscot Building","The Guardian Building","565 reviews ",".07 miles away "
0001,Poletown,null,null,null
0001,"PuppetART Theater","Campus Martius Park","225 reviews ",".21 miles away "
0001,"River Rouge Park","Rusted Crow Spirits","19 reviews ","2.41 miles away "
0001,"Riverfront-Lakewood East Park",null,null,null
0001,"Russell Industrial Center","Detroit Institute of Arts","2,321 reviews ","1.29 miles away "
0001,"Scarab Club","Detroit Institute of Arts","2,321 reviews ",".10 miles away "
0001,"Senate Theater",null,null,null
0001,"Sound Board Theater","Detroit Symphony Orchestra","117 reviews ",".77 miles away "
0001,"St Lazarus Serbian Orthodox Cathedral","Te Roma","10 reviews ","2.23 miles away "
0001,"Ste. Anne de Detroit Church","Dieppe Gardens","191 reviews ",".76 miles away "
0001,"Sweetest Heart of Mary Roman Catholic Church","Detroit Institute of Arts","2,321 reviews ",".85 miles away "
0001,"Swords into Plowshares Peace Center and Art Gallery","Comerica Park","2,328 reviews ",".06 miles away "
0001,"The Cathedral Church of St. Paul","Detroit Institute of Arts","2,321 reviews ",".21 miles away "
0001,"The Fillmore Detroit","Comerica Park","2,328 reviews ",".13 miles away "
0001,"The Ford Piquette Avenue Plant","Detroit Institute of Arts","2,321 reviews ",".64 miles away "
0001,"The Guardian Building","Campus Martius Park","225 reviews ",".14 miles away "
0001,"The Spirit of Detroit","The Guardian Building","565 reviews ",".12 miles away "
0001,"The Z Lot","Detroit Opera House","184 reviews ",".14 miles away "
0001,"Tiger Stadium Site",Mexicantown,"228 reviews ","1.02 miles away "
0001,"Tuskegee Airmen National Museum","Dieppe Gardens","191 reviews ","1.88 miles away "
0001,"Two James Spirits","Sound Board Theater","47 reviews ",".84 miles away "
0001,"Walter P. Reuther Library","Detroit Institute of Arts","2,321 reviews ",".20 miles away "
0001,"Wayne County Family Aquatic Center","Fowling Warehouse","46 reviews ","3.73 miles away "
0001,"West Riverfront Park","Dieppe Gardens","191 reviews ",".71 miles away "
0001,"William G. Milliken State Park and Harbor","Canadian Club Brand Center","258 reviews ",".83 miles away "
0001,"William Livingstone Memorial Lighthouse","Belle Isle Park","828 reviews ",".00 miles away "
0001,"Woodlawn Cemetery","The Rust Belt Market","83 reviews ","1.38 miles away "
0001,"Woodward Avenue","The Guardian Building","565 reviews ",".06 miles away "
