USERID,RATINGDATE,attractionname,viamobile,ratingscore,reviewtitle
" Ben L ","Reviewed September 23, 2016 ","The Ford Piquette Avenue Plant",No,5,"Great visit"
"_jo7eisen ","Reviewed January 28, 2018 ","DNR Outdoor Adventure Center",No,5,"Not To Be Missed Adventure"
"00vette48306 ","Reviewed December 14, 2015 ","Ford Field",No,4,"The venue is better than the team! "
"00vette48306 ","Reviewed February 22, 2018 ","Little Caesars Arena",No,5,"Great addition to Detroit sports scene"
"00vette48306 ","Reviewed September 15, 2017 ","Belle Isle Park",No,5,"Better every year"
"00vette48306 ","Reviewed September 19, 2015 ","Comerica Park",No,5,"Always fun!"
"0144 ","Reviewed January 7, 2017 ","Campus Martius Park",No,5,"Awesome New Year&rsquos Eve celebration for families and singles"
"0144 ","Reviewed March 10, 2013 ","Detroit Historical Museum",No,5,"Fun and interesting exhibits"
"03221108michelle ","Reviewed July 2, 2016 ","The Ford Piquette Avenue Plant",No,4,"Museum visit"
"1_Goddess_of_Travel ","Reviewed September 17, 2017 ","Cobo Center",No,5,"Great space - low stress"
"101Retired ","Reviewed September 22, 2017 ","Comerica Park",No,5,"Pleasant experience at Comerica"
"104gailh ","Reviewed June 23, 2015 ","Detroit Institute of Arts",No,5,Stunning!
"1066ClintE ","Reviewed June 22, 2015 ","Belle Isle Park",No,4,"beautiful jewel of Detroit"
"1066ClintE ","Reviewed September 12, 2015 ","Detroit Institute of Arts",No,5,"Perfect way to spend a Sunday Afternoon"
"111familyman111 ","Reviewed April 12, 2016 ","Joe Louis Arena",No,5,"GALAD TO VIST BEFORE THIS LEGEND CLOSES"
"11429080Gerry ","Reviewed September 3, 2013 ","Detroit Institute of Arts",No,5,"Great art but may lose in city bankruptcy"
"1163Teri ","Reviewed October 26, 2015 ","Detroit Institute of Arts",No,4,"Nice Place"
"1212rose1212 ","Reviewed August 20, 2015 ","Comerica Park",No,5,"Go tigers!"
"12318 ","Reviewed December 30, 2013 ","Fisher Theatre",No,5,"A salute to Broadway"
"12318 ","Reviewed September 28, 2013 ","Detroit Institute of Arts",No,5,"honoring a treasure"
"1234_10 ","Reviewed November 27, 2013 ","Detroit Institute of Arts",No,5,"World Class Museum"
"123kpossible ","Reviewed September 7, 2016 ","Comerica Park",No,5,"Tigers game"
"124Phyllis_M_12124 ","Reviewed February 18, 2015 ","Comerica Park",No,5,"Fun for the family"
"125craigj ","Reviewed August 16, 2015 ","Ford Field",No,4,"Big difference between home and visitors side"
"12688 ","Reviewed May 19, 2015 ","Comerica Park",No,3,"Good experience at Comerica"
"127rockyr ","Reviewed September 7, 2016 ","DNR Outdoor Adventure Center",No,5,"Family Day"
"12MCrystal ","Reviewed March 17, 2016 ","Detroit People Mover",No,4,Cool
"12Nick ","Reviewed April 23, 2012 ","Greektown Casino",No,2,"Better odds elsewhere, MUCH BETTER."
"12Nick ","Reviewed June 8, 2012 ","Comerica Park",No,5,"Shared the Concourse with Several Thousand Avoiding the Rain - and Liked It"
"132gardener ","Reviewed May 19, 2017 ","Comerica Park",No,5,"Great Place to watch a ballgame"
"13TigersLady ","Reviewed March 6, 2017 ","Detroit Institute of Arts",No,5,"Gorgeous, elegant and so full of treasures of all sorts!"
"13TigersLady ","Reviewed March 7, 2017 ","The Guardian Building",No,4,"A local archtectural treasure"
"1402truman ","Reviewed August 13, 2015 ","The Ford Piquette Avenue Plant",No,5,"1915 model T touring car owners , outstanding tour wealth of information"
"155019Jan ","Reviewed July 1, 2013 ","The Guardian Building",No,5,"A remarkable building"
"155019Jane ","Reviewed March 21, 2017 ","Motown Museum",No,5,"Motown Magic! "
"174DET ","Reviewed July 9, 2015 ","Chene Park Amphitheatre",No,1,"VIP package is a rip off..!!"
"18John1971 ","Reviewed March 16, 2015 ","Motown Museum",No,4,"Motown Museum"
"18John1971 ","Reviewed November 12, 2014 ","Fox Theatre",No,5,fox!
"18Tiger1 ","Reviewed March 10, 2017 ",Greektown,No,4,"Good restaurants. Great Bakery"
"1920v ","Reviewed August 16, 2016 ","Detroit Historical Museum",No,5,"A Great Experience"
"193trishb ","Reviewed June 19, 2017 ","Detroit Opera House",No,5,"Beautiful building"
"1988donika ","Reviewed November 12, 2017 ",Greektown,No,5,Nicee
"1bee2busy ","Reviewed May 24, 2017 ","Detroit Institute of Arts",No,5,"One of my top five favorite art museums"
"1Bustrav ","Reviewed June 27, 2016 ","The Ford Piquette Avenue Plant",No,4,"Well explained"
"1Bustrav ","Reviewed September 3, 2016 ","William G. Milliken State Park and Harbor",No,4,"Very pleasant walk"
"1Bustrav ","Reviewed September 4, 2016 ","Detroit RiverFront",No,4,"Very pleasant walk"
"1catsmeow ","Reviewed July 1, 2015 ",Mexicantown,No,5,"Best Restaurant in Mexicantown"
"1catsmeow ","Reviewed March 29, 2012 ","Comerica Park",No,4,"Go Tigers!"
"1DW1 ","Reviewed July 13, 2015 ","Belle Isle Park",No,4,"Great Area"
"1Edith1 ","Reviewed April 27, 2015 ","Detroit Institute of Arts",No,5,"Must see!"
"1EpicureanAdventurer ","Reviewed September 16, 2015 ","Ford Field",No,5,"Just Saw AC/DC"
"1John51415 ","Reviewed June 28, 2016 ","Detroit Institute of Arts",No,4,"DIA lives up to its reputation"
"1Kare1 ","Reviewed May 24, 2016 ","Comerica Park",No,5,"Great ballpark!"
"1lilcook ","Reviewed January 19, 2012 ","Detroit Opera House",No,5,"Beautiful theatre, world class opera and dance productions"
"1MissKay ","Reviewed July 12, 2014 ","Motown Museum",No,4,"First Visit"
"1n2u ","Reviewed February 25, 2015 ","Fox Theatre",No,1,"Box office seats...Are you kidding me!!!"
"1QueenBee2 ","Reviewed October 10, 2015 ","Motown Museum",No,5,"Must See!!!!"
"1Rahhalatun ","Reviewed April 29, 2017 ","The Guardian Building",No,4,"Worthwhile and Free"
"1Rahhalatun ","Reviewed August 8, 2017 ","West Riverfront Park",No,3,"Nice Park, Great Potential"
"1Rahhalatun ","Reviewed June 18, 2017 ","Hart Plaza",No,3,"Improvements Needed"
"1Rahhalatun ","Reviewed October 17, 2016 ","Detroit Institute of Arts",No,5,"Free For Locals a Plus"
"1Rahhalatun ","Reviewed September 6, 2017 ","Belle Isle Park",No,4,Improving
"1waytogo ","Reviewed July 25, 2015 ","The Ford Piquette Avenue Plant",No,4,"The original Ford Motor Company"
"2011heather16 ","Reviewed November 16, 2013 ","The Guardian Building",No,5,"Magnificent building"
"206JanF ","Reviewed January 5, 2016 ","DNR Outdoor Adventure Center",No,5,"You won&rsquot find this just driving through the neighborhood. . ."
"207karld ","Reviewed July 11, 2017 ","MGM Grand Detroit Casino",No,4,"Was great for a few hours of fun"
"20briang ","Reviewed October 12, 2016 ","Comerica Park",No,5,"Day at the ball park"
"214tracic ","Reviewed February 23, 2015 ","Motown Museum",No,5,"Total fun!"
"216TimG ","Reviewed September 5, 2017 ","Comerica Park",No,5,"Tribe-Tigers Game 9/3."
"218Traveler ","Reviewed February 18, 2015 ","Comerica Park",No,5,"Love Comerica Park"
"21stcpc ","Reviewed August 20, 2015 ","Detroit Institute of Arts",No,5,"Must see"
"225missy ","Reviewed June 26, 2015 ","MGM Grand Detroit Casino",No,1,"Horrible treatment at MGM Casino Detroit"
"23Neary ","Reviewed November 27, 2017 ","Ford Field",No,5,"Great first NFL experience."
"23yrs ","Reviewed February 20, 2014 ","Belle Isle Park",No,5,"Belle Isle"
"23yrs ","Reviewed February 22, 2014 ",Greektown,No,5,"A Detroit vistors must see!!"
"2424Saman ","Reviewed August 8, 2014 ","Detroit Institute of Arts",No,5,"An interesting museum"
"251ceh ","Reviewed April 6, 2017 ","Eastern Market",No,4,"Massive food cluster "
"251ceh ","Reviewed August 17, 2017 ","Detroit City Distillery",No,5,"Unique drinking hole in Eastern Market "
"257connieo ","Reviewed February 21, 2017 ","Detroit Opera House",No,5,"Old history combined with new play!"
"260lancec ","Reviewed July 26, 2016 ","Joe Louis Arena",No,5,"NHL Game"
"275THOMASB ","Reviewed October 31, 2014 ","Historic Fort Wayne",No,5,Memories
"2b2yo2256 ","Reviewed August 8, 2012 ","Belle Isle Park",No,3,"A gem of an island"
"2Moore ","Reviewed June 27, 2016 ","Motown Museum",No,5,"The BEST of MOTOWN"
"2Moore ","Reviewed May 22, 2017 ","Detroit Institute of Arts",No,5,"DIVERSITY ... Open, spacious and welcoming."
"2RedSquirrels ","Reviewed February 1, 2018 ","The Ford Piquette Avenue Plant",No,4,"Great look at the beginning of the car industry"
"2seniors2travel ","Reviewed October 1, 2013 ","Eastern Market",No,5,"Best part of downtown Detroit & SAFE!"
"2Vegas ","Reviewed January 1, 2017 ","Detroit People Mover",No,5,"Safer than NYC or Chicago"
"2whalea ","Reviewed March 13, 2017 ","Detroit Institute of Arts",No,5,"Detroit Art Surprise"
"2whalea ","Reviewed November 9, 2016 ","Comerica Park",No,5,"Fun day at the ballpark!"
"2wheeler1800 ","Reviewed 2 weeks ago ","Fox Theatre",No,4,"Foxy place"
"300hollyh ","Reviewed January 2, 2014 ","Ford Field",No,4,"Twice in one month!"
"307x ","Reviewed August 25, 2012 ","Comerica Park",No,4,"Nice park!"
"310tammit ","Reviewed October 17, 2016 ","Fox Theatre",No,5,"Moms Birthday Present "
"310tammit ","Reviewed September 7, 2016 ","Comerica Park",No,5,"40th Anniversary Gift"
"311Jani1951 ","Reviewed December 22, 2017 ","Comerica Park",No,5,"Detroit Tigers"
"311TORYY ","Reviewed May 27, 2014 ","Detroit Institute of Arts",No,5,"Nice museum"
"311velmas ","Reviewed October 1, 2015 ","Motown Museum",No,5,"Great visit to Hitsville USA and Motown Museum"
"313Eastsider ","Reviewed August 1, 2016 ","Belle Isle Park",No,5,"Looking better every year!"
"313friend ","Reviewed April 21, 2015 ","Comerica Park",No,5,"Family fun!"
"313friend ","Reviewed February 18, 2012 ","Detroit People Mover",No,3,"fun, but inadequate security"
"314dorothyb ","Reviewed January 18, 2017 ","Detroit Institute of Arts",No,3,"Mildly informational"
"314dorothyb ","Reviewed January 19, 2017 ","Detroit Historical Museum",No,3,"really sweet and historical"
"314thomast ","Reviewed June 18, 2016 ","Belle Isle Park",No,5,"Attended Indy Race here"
"318ws ","Reviewed July 10, 2017 ","Belle Isle Park",No,4,"Off -season visit"
"318ws ","Reviewed October 10, 2016 ","Detroit Institute of Arts",No,5,"Wonderful Art Museum in a Super area of Detroit"
"321retiree ","Reviewed February 3, 2014 ","MotorCity Casino",No,2,"Invasive security screening for elderly female"
"322elixx ","Reviewed January 3, 2018 ","Detroit RiverFront",No,5,"Relaxing walk"
"326Traveller ","Reviewed December 11, 2016 ","The Ford Piquette Avenue Plant",No,5,"Excellent Tour and Look back into History"
"327stanleyk ","Reviewed September 13, 2017 ","Comerica Park",No,5,"Marine Week. Tigers Royals game "
"330debbieg ","Reviewed October 26, 2015 ","The Ford Piquette Avenue Plant",No,5,"A little Gem in the Motor city"
"334mel2013 ","Reviewed 2 weeks ago ","Comerica Park",No,5,"Opening day"
"33kk ","Reviewed March 30, 2012 ","Detroit People Mover",No,4,"good for tourists"
"360as2016 ","Reviewed November 19, 2016 ","MGM Grand Detroit Casino",No,5,Grand
"365Kate ","Reviewed February 23, 2012 ","Detroit Institute of Arts",No,5,"Great collection"
"365Kate ","Reviewed June 7, 2012 ","Fox Theatre",No,5,"A historic gem"
"365Kate ","Reviewed May 29, 2012 ","Charles H. Wright Museum of African American History",No,3,"not sure about this one"
"369christyl ","Reviewed June 26, 2014 ","Detroit Institute of Arts",No,5,"Mind blowing"
"370dmac ","Reviewed July 6, 2015 ","Eastern Market",No,5,"greatest farm market ever !!!!"
"370dmac ","Reviewed June 28, 2015 ","Motown Museum",No,5,"Hitsville USA"
"370dmac ","Reviewed June 9, 2015 ","Joe Louis Monument",No,1,"Welcome to Detroit"
"370dmac ","Reviewed November 13, 2015 ","Fisher Building",No,5,Architecture
"370dmac ","Reviewed October 17, 2015 ","Detroit RiverFront",No,4,"river walk"
"370dmac ","Reviewed October 18, 2015 ","Tiger Stadium Site",No,1,"not much to see here."
"37EJM ","Reviewed September 1, 2015 ","Comerica Park",No,5,"easy access from Windsor"
"38002Traveler ","Reviewed June 24, 2016 ","Belle Isle Park",No,5,"Wedding at Belle Isle"
"407bert407 ","Reviewed 2 weeks ago ","Motown Museum",No,5,"Worth every penny"
"4114sml ","Reviewed April 30, 2016 ","The Guardian Building",No,5,"Detroit "
"411melissag ","Reviewed July 18, 2017 ","Comerica Park",No,5,"LOVE this venue!"
"411melissag ","Reviewed September 28, 2017 ","Little Caesars Arena",No,5,"Amazing Arena and Fantastic Staff"
"42492Escamillo ","Reviewed July 21, 2013 ","Detroit Institute of Arts",No,5,"Don&rsquot overlook this museum"
"442markc442 ","Reviewed 1 week ago","Detroit Institute of Arts",No,5,"World class museum"
"444terryw ","Reviewed July 14, 2016 ","Motown Museum",No,4,"A step back in time"
"446raymondr ","Reviewed July 16, 2017 ","Solanus Casey Center",No,5,"A place of learning"
"446raymondr ","Reviewed November 26, 2017 ","Belle Isle Park",No,4,"Been awhile, clean and inviting"
"447more ","Reviewed December 23, 2017 ","Fox Theatre",No,5,"A memorable night"
"461suzanned ","Reviewed September 1, 2015 ","Belle Isle Park",No,5,"Belle island upgraded"
"461suzanned ","Reviewed September 9, 2015 ","Detroit RiverFront",No,3,"Detroit deserves credit "
"467kristia ","Reviewed October 8, 2016 ","Eastern Market",No,5,"Beautiful Produce, Great Prices"
"471susannek ","Reviewed December 22, 2015 ","Campus Martius Park",No,5,"Delightful at Christmastime!"
"482JamesS482 ","Reviewed July 9, 2016 ","Eastern Market",No,5,"Farmers market on steroids"
"4Collvers ","Reviewed March 8, 2012 ","Joe Louis Arena",No,3,"Great Hockey Experience"
"4everamused ","Reviewed September 6, 2017 ","Ford Field",No,5,"U2 concert at Ford Field"
"4fairfax ","Reviewed May 25, 2016 ","Detroit Institute of Arts",No,5,"A National Gem"
"4GTravels ","Reviewed May 2, 2015 ","Motown Museum",No,5,"The Mecca of Music…A must do in Detroit for music lovers!"
"4kb83 ","Reviewed June 8, 2015 ","Detroit Institute of Arts",No,4,"Rivera Murals: A must-see before you die"
"4mysanity ","Reviewed February 4, 2012 ",Mexicantown,No,3,"Love Mexican"
"4states ","Reviewed August 28, 2017 ","Detroit RiverFront",No,4,"Great views but gets busy"
"4Titude ","Reviewed December 22, 2012 ","Anna Scripps Whitcomb Conservatory",No,5,"Literally Refreshing and Dependable Peace."
"4travelfan11 ","Reviewed September 25, 2014 ","Detroit Institute of Arts",No,5,"Amazing place!"
"4U2C2B1 ","Reviewed April 7, 2017 ","Detroit People Mover",No,5,"Cheap easy way to move around location."
"4U2C2B1 ","Reviewed June 27, 2017 ","Belle Isle Park",No,3,"Nice park"
"4youandme2 ","Reviewed October 24, 2013 ","The Redford Theatre",No,3,"Olde School Theatre"
"50Col ","Reviewed August 30, 2015 ","Detroit Institute of Arts",No,5,"Excellent Art Institute"
"50statesmom ","Reviewed February 6, 2016 ","Comerica Park",No,4,"Tigers Fans are Great!"
"50statesmom ","Reviewed February 7, 2016 ","Detroit Downtown",No,5,"Definitely Worth Seeing!"
"50statesmom ","Reviewed February 9, 2016 ","The Z Lot",No,5,"It&rsquos not the parking lot - it&rsquos the alley next to it"
"50statesorbreak ","Reviewed August 17, 2015 ","Detroit People Mover",No,3,"Convenient and great price"
"515any ","Reviewed August 3, 2016 ","Joe Louis Arena",No,3,"great place to view"
"532Joel ","Reviewed June 23, 2014 ","Detroit People Mover",No,5,"See Downtown The Easy Way"
"536ernestz ","Reviewed January 15, 2017 ","Detroit People Mover",No,5,"Auto show"
"540paulz ","Reviewed September 10, 2016 ","Detroit People Mover",No,4,"Lunch at greek town"
"545vicky30 ","Reviewed February 5, 2017 ","Detroit Institute of Arts",No,5,"Interesting place to visit"
"545vicky30 ","Reviewed October 17, 2016 ","Eastern Market",No,5,"Fun place to visit"
"547rania ","Reviewed 2 weeks ago ","Detroit Institute of Arts",No,5,"Diego Riviera mural area is a must see"
"54er ","Reviewed January 30, 2017 ","The Guardian Building",No,5,"Pure Detroit Free Tour"
"552elainel ","Reviewed September 13, 2016 ","Motown Museum",No,5,"Wonderful experience at Motown Museum"
"5600loveland57 ","Reviewed October 9, 2015 ","Detroit Downtown",No,5,"Love Detroit"
"569Nicco ","Reviewed May 17, 2016 ","Motown Museum",No,5,"Berry Gordy&rsquos original studio"
"57AOK ","Reviewed July 8, 2015 ","Comerica Park",No,4,"Best Ballpark!"
"57AOK ","Reviewed June 26, 2015 ","MotorCity Casino",No,5,"Wonderful Experience!"
"57dat ","Reviewed January 4, 2018 ","Belle Isle Park",No,5,"Great Views and Well Maintained Park"
"5910 ","Reviewed April 30, 2016 ","The Redford Theatre",No,5,"A Step Back In Time"
"596freyah ","Reviewed October 27, 2017 ","Cobo Center",No,5,"Great place for a big convention"
"5cool7 ","Reviewed April 11, 2017 ","The Heidelberg Project",No,4,"Very interesting stop!"
"5kmilesin2010 ","Reviewed June 5, 2012 ","Comerica Park",No,5,"Great location, layout, things to do"
"60andout ","Reviewed August 12, 2011 ","MotorCity Casino",No,2,"Needs a new ventilation system and parking lot."
"60andout ","Reviewed December 18, 2011 ","Comerica Park",No,4,"great park, lots of fun"
"60andout ","Reviewed February 25, 2013 ","Historic Trinity Lutheran Church",No,5,"beautiful architecture"
"60andout ","Reviewed September 2, 2014 ","MotorCity Casino",No,1,"Many changes and none good"
"60andout ","Reviewed September 3, 2011 ","MGM Grand Detroit Casino",No,3,"very nice building and shops"
"60curtp ","Reviewed November 8, 2017 ","Comerica Park",No,5,"Baseball Heaven!"
"614tinam ","Reviewed February 4, 2016 ","Comerica Park",No,5,"very fun, great park ,"
"617anitab ","Reviewed July 10, 2016 ","Detroit RiverFront",No,3,"Gypsy Kings on the Riverfront"
"617anitab ","Reviewed July 9, 2016 ",Greektown,No,5,"Dinner after Lions game"
"618pattys ","Reviewed August 13, 2015 ","Comerica Park",No,5,"Great Views of Field from ALL Seats"
"61tmd ","Reviewed October 19, 2016 ","Comerica Park",No,4,"Great ball park"
"621theresag ","Reviewed June 18, 2015 ","Detroit Institute of Arts",No,5,Inspirational
"635karlas ","Reviewed January 6, 2017 ","MGM Grand Detroit Casino",No,4,"Love the rooms!"
"64lily ","Reviewed August 12, 2015 ","MGM Grand Detroit Casino",No,5,Great
"64lily ","Reviewed July 10, 2015 ","Greektown Casino",No,2,dirty
"653BettyAnn ","Reviewed June 28, 2015 ","Detroit Downtown",No,4,"Day in Detroit"
"65Mustangman ","Reviewed June 21, 2016 ","The Ford Piquette Avenue Plant",No,5,"Historic factory for automobile lovers"
"663craigl ","Reviewed June 1, 2016 ","Detroit Institute of Arts",No,4,"Interesting day at the museum"
"670ronaldp ","Reviewed April 13, 2016 ","Comerica Park",No,5,"Nice ball park"
"69-Mach1-lvr ","Reviewed August 15, 2014 ","Woodward Avenue",No,5,"Dream come true"
"69-Mach1-lvr ","Reviewed February 19, 2012 ","Joe Louis Arena",No,3,"Not for the big man"
"69-Mach1-lvr ","Reviewed February 28, 2015 ","Ford Field",No,2,"Monster Jam. .. Traffic Jam!!!"
"69-Mach1-lvr ","Reviewed January 31, 2016 ","Ford Field",No,3,"Monster Jam - better than last year"
"69-Mach1-lvr ","Reviewed May 7, 2013 ","Joe Louis Arena",No,2,"Hockeytown, not hockey arena"
"69-Mach1-lvr ","Reviewed October 4, 2014 ","Detroit RiverFront",No,5,"Check the calendar, so much to do"
"6milliondollarpostmn ","Reviewed September 4, 2016 ","Chene Park Amphitheatre",No,5,"S.O.S. Band w/ Bros.Johnson"
"6roset ","Reviewed September 19, 2016 ","Motown Museum",No,5,"Motown museum"
"6roset ","Reviewed September 20, 2016 ",Greektown,No,5,"Dinner outing"
"715michigan05 ","Reviewed April 29, 2016 ","Ford Field",No,5,"A great place to watch a dismal team"
"722ljd81 ","Reviewed September 8, 2015 ","Detroit Institute of Arts",No,5,"Amazing even for art novices."
"723leishac ","Reviewed November 1, 2016 ","Detroit-Windsor Tunnel",No,5,FUN!
"72jolenep ","Reviewed August 21, 2016 ","Detroit Institute of Arts",No,5,"An amazing place for young and old"
"73grace1204 ","Reviewed December 7, 2016 ","Motown Museum",No,5,"Motown Memories"
"740elaine ","Reviewed July 20, 2016 ","Motown Museum",No,3,"A nostalgic trip down memory lane."
"763averys ","Reviewed September 13, 2016 ","Comerica Park",No,5,"Great Day at The Ball park"
"771974 ","Reviewed February 19, 2015 ","Comerica Park",No,4,"Nice park"
"7808BillyD ","Reviewed August 11, 2016 ","Motown Museum",No,5,"A great historical overview of the record company"
"7808BillyD ","Reviewed December 27, 2017 ","Motown Museum",No,5,"The Motown Sound"
"7808BillyD ","Reviewed June 10, 2015 ","MGM Grand Detroit Casino",No,4,"Number One Casino"
"7808BillyD ","Reviewed June 15, 2016 ","Belle Isle Park",No,5,"A complete makeover"
"7808BillyD ","Reviewed June 19, 2017 ","Woodlawn Cemetery",No,4,"Buried a friend"
"7808BillyD ","Reviewed June 4, 2015 ","Ford Field",No,4,"I work in the building"
"7808BillyD ","Reviewed September 1, 2016 ","Comerica Park",No,5,"Go Tigers"
"790christopheru ","Reviewed April 6, 2016 ","Ford Field",No,5,"Comfortable Stadium"
"795Matty ","Reviewed June 19, 2013 ","Detroit Institute of Arts",No,5,"Amazing paintings"
"7elizabeth ","Reviewed August 15, 2012 ","Comerica Park",No,5,"Baseball done right"
"7elizabeth ","Reviewed March 16, 2012 ","Detroit Institute of Arts",No,5,"fantastic exhibit"
"803kayv ","Reviewed October 2, 2017 ","Motown Museum",No,1,"Over rated"
"826Suzie ","Reviewed June 10, 2016 ","Motown Museum",No,4,"Anyone who enjoys the Motown sound should visit this place."
"827terreng ","Reviewed June 25, 2016 ","Motown Museum",No,5,"Legendary Motown"
"8338y ","Reviewed November 20, 2017 ","Detroit Institute of Arts",No,4,"Wish we had more tkme"
"833travelguy ","Reviewed July 6, 2016 ","Comerica Park",No,4,"Very cool"
"836erikaj ","Reviewed January 13, 2016 ","Motown Museum",No,4,History
"856shandag ","Reviewed May 3, 2016 ","Comerica Park",No,5,"Great Stadium for a Ball Game"
"87181 ","Reviewed July 19, 2017 ","Detroit Institute of Arts",No,5,"Superb collection and curating"
"872emilye ","Reviewed January 16, 2017 ","Joe Louis Arena",No,3,"Ready for new arena"
"872emilye ","Reviewed November 12, 2015 ","Comerica Park",No,4,"Great location"
"888YKB ","Reviewed March 18, 2017 ","Sound Board Theater",No,5,"Fun place"
"892dizzy ","Reviewed January 22, 2018 ","Detroit Institute of Arts",No,5,"DIA= love"
"9120marz ","Reviewed September 14, 2017 ","Motown Museum",No,5,"A Must When you are in Detroit"
"913WorldTraveler ","Reviewed July 23, 2016 ","The Ford Piquette Avenue Plant",No,5,"Worth the time"
"915Me ","Reviewed May 21, 2016 ","Comerica Park",No,5,"The suite is the way to go"
"921cleaner ","Reviewed December 2, 2014 ","Detroit Institute of Arts",No,5,"Day at the museum"
"921cleaner ","Reviewed June 3, 2015 ","Comerica Park",No,2,Homogenized
"922alejandrol ","Reviewed June 15, 2016 ","Comerica Park",No,5,"Great Family Experience"
"925dianen ","Reviewed September 13, 2016 ","The Heidelberg Project",No,4,"Don&rsquot just do a drive by."
"925dianen ","Reviewed September 16, 2016 ","Fisher Building",No,5,Wowzers!
"968agv ","Reviewed June 22, 2015 ","The Ford Piquette Avenue Plant",No,5,"Amazing place"
"974julief ","Reviewed January 4, 2016 ","Detroit Institute of Arts",No,5,"One of the best American art museums!"
"982pamb ","Reviewed June 27, 2015 ","Detroit RiverFront",No,4,"West Riverfront Park......still needs a bit of work for a concert venue"
"A D ","Reviewed April 23, 2015 ","Detroit Institute of Arts",No,5,"A must see while in Detroit!"
"A G ","Reviewed August 17, 2015 ","Motown Museum",No,5,Chills
"A R ","Reviewed January 3, 2013 ","Ford Field",No,5,"Best Stadiuim in the North"
"A TripAdvisor Member ","Reviewed April 22, 2005 ","MotorCity Casino",No,4,"having,a ball there."
"A TripAdvisor Member ","Reviewed April 3, 2006 ","MotorCity Casino",No,5,"Best of the Detroit casinos IMO"
"A TripAdvisor Member ","Reviewed April 8, 2006 ","Historic Fort Wayne",No,4,"A Piece of History Being Forgotten"
"A TripAdvisor Member ","Reviewed August 13, 2003 ",Greektown,No,5,"Amazing Experience"
