USERID,RATINGDATE,attractionname,viamobile,ratingscore,reviewtitle
"Ali07London ","Reviewed August 11, 2017 ","The Ford Piquette Avenue Plant",No,5,"A real must if you can make a tour 12 noon or 2 pm - a hidden gem"
"Ali07London ","Reviewed August 12, 2017 ","Motown Museum",No,4,"would have been great to see the museum but all sold out"
"alibird ","Reviewed August 27, 2015 ","Detroit Institute of Arts",No,5,"Beautiful and diverse collection!"
"Alice C ","Reviewed August 29, 2017 ","Eastern Market",No,5,"Family trip"
"Alice T ","Reviewed August 2, 2017 ","Belle Isle Park",No,4,&rdquoMemories&rdquo
"Alice T ","Reviewed January 23, 2013 ","Detroit Institute of Arts",No,4,"Wonderful Art"
"Alice T ","Reviewed March 14, 2015 ","Eastern Market",No,5,"Wow! Exciting place to visit on a Saturday morning."
"alicia c ","Reviewed August 2, 2015 ","Michigan Science Center",No,3,"Visit to the Science Center"
"Alicia S ","Reviewed March 1, 2017 ","Detroit Institute of Arts",No,5,"One of America&rsquos great musuems"
"Alicia S ","Reviewed March 9, 2017 ","Michigan Science Center",No,5,"Drive in from the subburbs"
"AliiDrive ","Reviewed May 11, 2012 ","Detroit Institute of Arts",No,5,"A world-class museum"
"Alikatt62 ","Reviewed October 15, 2016 ",Greektown,No,5,"A little bit of everything!"
"Alina M ","Reviewed May 1, 2015 ","Detroit Institute of Arts",No,5,"Friday Night Live"
"Alina M ","Reviewed May 22, 2015 ","Detroit Symphony Orchestra",No,5,Spectacular!
"aliosun ","Reviewed October 26, 2015 ","Detroit Institute of Arts",No,5,"A great collection"
"Alisha C ","Reviewed May 28, 2016 ","Comerica Park",No,5,"Great Game"
"Alisha H ","Reviewed April 10, 2012 ","The Guardian Building",No,4,"Beautiful architecture!"
"Alison C ","Reviewed March 11, 2018 ","Fisher Theatre",No,4,"Always enjoy visiting this theatre!"
"Alison C ","Reviewed March 3, 2018 ","Comerica Park",No,4,"Great ballpark!"
"Alison D ","Reviewed January 28, 2016 ","Motown Museum",No,5,"Groovy step into the past"
"Alison D ","Reviewed September 6, 2016 ","Ford Field",No,5,"Concert "
"AlissaJ5 ","Reviewed 2 days ago ","Detroit Institute of Arts",No,5,"Amazing collection "
"Alissar H ","Reviewed April 14, 2015 ","Detroit Historical Museum",No,4,Nice
"Alitalia10 ","Reviewed June 25, 2017 ","Detroit Institute of Arts",No,5,"Great "
"ALJSKEE ","Reviewed February 15, 2014 ","Detroit Downtown",No,5,"Safer than I thought but still sketchy"
"alkonet ","Reviewed July 16, 2015 ","Motown Museum",No,4,"Interesting house and studio tour - Recommended for Motown Fan"
"Allan G ","Reviewed June 25, 2013 ","Motown Museum",No,5,"HITSVILLE USA"
"Allan2 ","Reviewed August 18, 2016 ","The Ford Piquette Avenue Plant",No,5,"Walk Through History"
"Allan2 ","Reviewed August 26, 2014 ","Detroit Historical Museum",No,4,"Great Free Museum"
"allanbowers ","Reviewed October 2, 2016 ","Fox Theatre",No,5,"Over the top decor"
"AllanGo ","Reviewed June 25, 2014 ","Detroit Institute of Arts",No,5,"DIA is a treasure worth saving"
"AllanS1 ","Reviewed May 19, 2012 ","Detroit People Mover",No,4,"one way only but it gets you there"
"Allen B ","Reviewed August 27, 2017 ","MGM Grand Detroit Casino",No,4,"Not bad"
"Allen B ","Reviewed October 2, 2016 ","Fox Theatre",No,5,"Saw Brian Wilson in This Phenomenal Venue"
"Allen G ","Reviewed August 30, 2017 ","Motown Museum",No,5,"Great tour of Motown Museum"
"Allen T ","Reviewed November 11, 2015 ","Detroit-Windsor Tunnel",No,5,"Short trip"
"Allen W ","Reviewed October 14, 2015 ","Detroit People Mover",No,5,"Must do!"
"Allen W ","Reviewed September 9, 2014 ","Motown Museum",No,5,Wow
"AllenW75 ","Reviewed August 2, 2014 ","Detroit Institute of Arts",No,5,"Amazing Environment"
"Allez-y-donc ","Reviewed August 25, 2013 ","The Ford Piquette Avenue Plant",No,5,"Making Detroit proud -"
"Allie E ","Reviewed March 31, 2017 ","Detroit Institute of Arts",No,4,"World Class Art in Detroit"
"Allie P ","Reviewed January 20, 2013 ","Eastern Market",No,4,"Such a great time, and delicious food & veggies!"
"Allison D ","Reviewed October 18, 2012 ","Comerica Park",No,4,"Cool and cozy ball park"
"Allison Holly S ","Reviewed June 28, 2016 ","Comerica Park",No,4,"Tiger game"
"Allison O ","Reviewed January 17, 2014 ","Comerica Park",No,5,"Great Ballpark"
"Allison R ","Reviewed September 29, 2014 ","Joe Louis Arena",No,4,"Old but always a good time!"
"allisoncracc ","Reviewed October 24, 2016 ","Detroit Institute of Arts",No,5,"Crown Jewel of Detroit"
"AllisonMB555 ","Reviewed September 10, 2014 ","Ambassador Bridge",No,3,"Use the Blue Water Bridge if Practicle"
"AllisonMB555 ","Reviewed September 11, 2014 ","The Redford Theatre",No,5,"Awesome Time and Value"
"Allistra ","Reviewed May 29, 2016 ",Greektown,No,4,"Good variety of restaurants"
"allnew ","Reviewed August 5, 2015 ","Detroit Institute of Arts",No,3,"Detroit&rsquos special museum"
"allrightie ","Reviewed August 17, 2017 ","Comerica Park",No,4,"Incorrect string value"
"allrightie ","Reviewed August 26, 2017 ","Ford Field",No,3,"To each his own"
"allthegirls2014 ","Reviewed April 6, 2014 ","Detroit Institute of Arts",No,5,"Proud to show off this Detroit gem"
"Ally O ","Reviewed June 22, 2017 ","Detroit RiverFront",No,5,"Great day trip "
"Allyson S ","Reviewed July 29, 2015 ","Joe Louis Arena",No,5,Magical!
"allyson360 ","Reviewed May 20, 2014 ","Detroit RiverFront",No,3,"Not finished"
"Alonda H ","Reviewed March 12, 2014 ",Mexicantown,No,4,"We love their food and service!"
"Alonzo B ","Reviewed October 20, 2014 ","Charles H. Wright Museum of African American History",No,5,"Very Nice Museum"
"ALpalpalpalpalp ","Reviewed August 25, 2016 ","Detroit RiverFront",No,3,"massive blue river"
"alphabetty ","Reviewed April 23, 2009 ","The Heidelberg Project",No,3,"Very interesting....didn&rsquot feel comfortable getting out of the car"
"alphaqueen ","Reviewed May 28, 2014 ","Detroit RiverFront",No,4,"Romantic walkway"
"AltamonteTraveler ","Reviewed June 13, 2017 ","Michigan Science Center",No,5,"Great for All Ages"
"AltamonteTraveler ","Reviewed June 14, 2017 ","Belle Isle Park",No,5,"Beautiful Natural Environment in the City"
"altogardener ","Reviewed January 27, 2017 ","The Guardian Building",No,4,"Cool, art deco building"
"Alv R ","Reviewed September 1, 2016 ","Detroit RiverFront",No,5,"Riverbiking for me"
"alviemsw ","Reviewed November 9, 2015 ","Earthworks Urban Farms",No,3,"Serving the needy"
"alviemsw ","Reviewed October 17, 2015 ","GM Renaissance Center",No,3,"Worth a quick visit"
"alviemsw ","Reviewed October 26, 2015 ","The Heidelberg Project",No,4,"You have to see it for yourself"
"AlvinaG_13 ","Reviewed June 23, 2016 ","Motown Museum",No,5,"Historical Site"
"ALVINMICHELLE ","Reviewed April 15, 2014 ","Detroit People Mover",No,5,"DETROIT PEOPLE MOVER"
"alwaysfun2travel ","Reviewed September 28, 2017 ","Detroit Institute of Arts",No,5,"Really impressed"
"alwaysonthemoveee ","Reviewed December 21, 2017 ","Campus Martius Park",No,5,"Christmas spirit all the way"
"alwaysonthemoveee ","Reviewed January 8, 2018 ","Little Caesars Arena",No,4,"Red wing game"
"Alwaystravel999 ","Reviewed 2 days ago","Comerica Park",No,5,"Great ballpark"
"Aly M ","Reviewed June 6, 2014 ","Detroit Institute of Arts",No,3,"Nice museum, the people made the visit unenjoyable :("
"Alyn T ","Reviewed October 19, 2016 ","Fox Theatre",No,5,"Beautiful, historic venue"
"Alyssa H ","Reviewed January 3, 2018 ","Comerica Park",No,5,Baseball!
"Alyssa M ","Reviewed July 29, 2016 ","Fox Theatre",No,5,"Amazing experience!"
"Alyssa R ","Reviewed April 14, 2015 ","Joe Louis Arena",No,5,"Love the joe"
"alyssa00 ","Reviewed September 17, 2015 ","Detroit Institute of Arts",No,4,"a lovely afternoon of art and history"
"am_a_a20062002 ","Reviewed March 12, 2017 ","Detroit Downtown",No,5,"Very nice"
"am1belle ","Reviewed July 2, 2014 ","Detroit Historical Museum",No,4,"Went for Book of Mormon Play"
"amalavita1 ","Reviewed August 30, 2017 ","Detroit RiverFront",No,5,"Great View Of Canada and Lovely Stroll"
"Amanda A ","Reviewed April 14, 2012 ","Joe Louis Arena",No,3,"If you like vintage"
"Amanda B ","Reviewed November 2, 2016 ","Joe Louis Arena",No,3,"Great experience...easy to see why they are relocating"
"Amanda B ","Reviewed November 25, 2013 ","Comerica Park",No,5,"A must for Detroiters/Visitors"
"Amanda C ","Reviewed August 28, 2015 ","Joe Louis Arena",No,5,"Joe Louis Arena"
"Amanda K ","Reviewed 2 days ago ","Belle Isle Park",No,5,"Dog walking/ fresh air"
"Amanda M ","Reviewed 4 weeks ago ","Detroit RiverFront",No,5," beautiful"
"Amanda M ","Reviewed October 2, 2017 ","Little Caesars Arena",No,5,"Love the New Arena!"
"Amanda S ","Reviewed July 25, 2017 ","Comerica Park",No,5,"Such a cool place"
"Amanda V ","Reviewed September 27, 2015 ","The Ford Piquette Avenue Plant",No,5,"A must see site in Detroit"
"Amanda W ","Reviewed April 10, 2016 ","Comerica Park",No,5,"Great Ball Park with great energy."
"Amanda Z ","Reviewed October 9, 2015 ","Belle Isle Park",No,5,"Wonderful fun for the whole family."
"amandawest44 ","Reviewed July 20, 2012 ","Comerica Park",No,5,"GO TIGERS!"
"amariegu ","Reviewed May 2, 2015 ","MotorCity Casino",No,1,"Rude rude rude employees"
"AmarilisVos ","Reviewed June 26, 2015 ","Detroit Institute of Arts",No,4,"Kahlo and Rivera exhibit"
"Amaya H ","Reviewed August 4, 2016 ","Belle Isle Park",No,4,"Fun Times!"
"amb09013 ","Reviewed May 31, 2017 ","Movement Electronic Music",No,5,"Techno Paradise"
"Amber C ","Reviewed July 31, 2012 ","Ford Field",No,4,"came for a different events"
"Amber D ","Reviewed July 25, 2015 ","Eastern Market",No,4,"Lots of tables crafts and produce"
"Amber J ","Reviewed July 17, 2013 ","Comerica Park",No,4,"Nice Park"
"Amber P ","Reviewed June 1, 2017 ","Ford Field",No,5,"LOVE THIS PLACE"
"Amber R ","Reviewed September 18, 2016 ","Fisher Building",No,5,"FIsher Building Tour"
"amberenergy84 ","Reviewed July 29, 2012 ","The Heidelberg Project",No,1,"DANGEROUS!! I WAS BEATEN UP AND ROBBED"
"amd58 ","Reviewed July 29, 2013 ","Comerica Park",No,5,"Top Notch Ballpark"
"amd6551 ","Reviewed September 12, 2011 ","Detroit Institute of Arts",No,5,"Beautiful - a Gem to the city and the state"
"AMD67 ","Reviewed August 26, 2016 ","MotorCity Casino",No,5,"What a blast!"
"AMD67 ","Reviewed July 2, 2016 ","MGM Grand Detroit Casino",No,3,"Looks aren&rsquot everything "
"Amerellis ","Reviewed August 19, 2011 ","MotorCity Casino",No,5,"So very helpful..........."
"Americamba37 ","Reviewed August 20, 2013 ","Motown Museum",No,5,"A Walk Through Music History"
"Americana_Mama ","Reviewed September 16, 2017 ","Eastern Market",No,4,"Took me this long to visit??"
"americanhistorybuff ","Reviewed November 9, 2012 ","Detroit-Windsor Tunnel",No,5,"Always nice"
"AmericanInHeidelberg ","Reviewed January 1, 2014 ","The Guardian Building",No,5,"Unbelievably beautiful for an office building"
"Amishcowboy ","Reviewed May 26, 2015 ","Comerica Park",No,2,"Rip Off!"
"AmitJ24 ","Reviewed February 13, 2014 ","Belle Isle Park",No,3,"Beautiful but not well maintained"
"AMLook ","Reviewed November 28, 2016 ","Motown Museum",No,4,"Closed on Sundays!"
"Ammanfamily ","Reviewed July 3, 2015 ","Belle Isle Park",No,5,"Belle Isle is unique and beautiful"
"Amor B ","Reviewed May 6, 2015 ","Detroit Historical Museum",No,5,"Great & Free"
"amsteketee ","Reviewed December 30, 2016 ","The Guardian Building",No,5,Stunning
"amw79 ","Reviewed August 5, 2011 ","Comerica Park",No,5,"Amazingly friendly staff!"
"Amy B ","Reviewed April 9, 2015 ","Charles H. Wright Museum of African American History",No,4,"Outstanding School Field Trip"
"Amy B ","Reviewed December 26, 2016 ","Fisher Theatre",No,5,Beautiful
"Amy B ","Reviewed July 12, 2015 ","Joe Louis Arena",No,4,"Let&rsquos Go Red Wings!!!"
"Amy B ","Reviewed September 17, 2014 ","Detroit Symphony Orchestra",No,5,"Pops Series"
"Amy B ","Reviewed September 18, 2014 ","The Guardian Building",No,4,"Beautiful Tile Work"
"Amy D ","Reviewed October 8, 2017 ","Belle Isle Park",No,5,Gem
"Amy F ","Reviewed August 24, 2014 ","Comerica Park",No,2,"food selection minimal"
"Amy F ","Reviewed March 11, 2015 ","Joe Louis Arena",No,3,"Worth it to see Garth"
"Amy G ","Reviewed September 27, 2015 ","Motown Museum",No,4,"I hear a symphony"
"Amy M ","Reviewed April 23, 2015 ","Motown Museum",No,5,"Excellent time!"
"Amy P ","Reviewed July 7, 2015 ","Motown Museum",No,5,"Motown Museum"
"Amy R ","Reviewed April 7, 2015 ","Detroit Institute of Arts",No,5,"World Class Collection"
"Amy R ","Reviewed February 24, 2016 ","The Guardian Building",No,5,"Beautiful Detail and Craftsmanship from a Bygone Age on Desiplay at the Guardian Building"
"Amy S ","Reviewed August 26, 2016 ","Detroit City Distillery",No,5,"Great drinks, Great staff!!"
"Amy T ","Reviewed September 20, 2015 ","Ford Field",No,5,"Kenny Chesney Revival concert"
"Amy W ","Reviewed June 29, 2016 ","Comerica Park",No,5,"Fun times"
"Amy_and_Jeremy ","Reviewed April 12, 2015 ","Detroit Historical Museum",No,5,"Great free museum in Detroit!"
"amybatt ","Reviewed December 8, 2016 ","Detroit Institute of Arts",No,4,"Thrilled with the collection!"
"amyjean03 ","Reviewed March 12, 2016 ","Joe Louis Arena",No,5,"Great old time hockey arena"
"amylovesaruba ","Reviewed December 26, 2015 ","Campus Martius Park",No,5,"Cute Place"
"amylovesaruba ","Reviewed December 27, 2015 ","Fox Theatre",No,5,Awesome
"AmyLynn1980 ","Reviewed 1 week ago ","Detroit RiverFront",No,5,"Where the city and nature collide"
"AmyLynn1980 ","Reviewed 2 weeks ago ","Detroit People Mover",No,5,"Best City Views"
"AmyLynn1980 ","Reviewed 3 days ago ","Campus Martius Park",No,4,"Beautiful downtown park!"
"AmyLynn1980 ","Reviewed 3 weeks ago ","Motown Museum",No,1,"Highly Overrated"
"AmyLynn1980 ","Reviewed 4 weeks ago ","The Guardian Building",No,4,"Art Deco Masterpiece"
"amynaadi1 ","Reviewed August 29, 2013 ","The Guardian Building",No,5,"Appropriately named as &rdquoCathedral of Finance&rdquo"
"Ana C ","Reviewed August 19, 2014 ",Mexicantown,No,3,"Tourist Haven with a Local Flair"
"Ana C ","Reviewed August 22, 2015 ","Detroit RiverFront",No,4,"Great walk and view"
"Ana C ","Reviewed December 11, 2015 ","MGM Grand Detroit Casino",No,5,"Nicest Downtown Detroit Casino by far!"
"Ana C ","Reviewed December 2, 2015 ","Eastern Market",No,4,"Great Local Artisans"
"Ana C ","Reviewed May 19, 2015 ","Detroit Institute of Arts",No,5,"Rivera/Kahlo Exhibit is Excellent"
"Ana C ","Reviewed May 27, 2015 ","Comerica Park",No,5,"Beautiful Stadium"
"Ana C ","Reviewed November 11, 2014 ","Detroit RiverFront",No,4,"Finally, a nice Detroit Riverwalk"
"Ana C ","Reviewed November 27, 2015 ","Campus Martius Park",No,5,"Must see!"
"Ana C ","Reviewed November 3, 2014 ",Greektown,No,3,"Small area - good for meals"
"Ana C ","Reviewed September 24, 2015 ","Ford Field",No,5,"great indoor stadium"
"Ana Maria S ","Reviewed March 21, 2016 ","Detroit People Mover",No,5,"Quick Detroit"
"Ana R ","Reviewed August 29, 2014 ","Belle Isle Park",No,5,"i love love belle isle."
"Ana R ","Reviewed June 16, 2016 ","Comerica Park",No,5,"Great friend/family outing"
"Ana T ","Reviewed December 28, 2015 ","Belle Isle Park",No,5,"The isle of belle"
"analina-lecoq ","Reviewed March 4, 2018 ","The Heidelberg Project",No,5,"Unique and perfect for art lovers!"
"Ananda T ","Reviewed March 14, 2016 ","Detroit Institute of Arts",No,5,"An excellent museum with one of the greatest murals in the US"
"Anastacia B ","Reviewed May 6, 2017 ","Detroit People Mover",No,5,"Good price not a long wait "
"Anastasia O ","Reviewed September 22, 2015 ","Comerica Park",No,5,"Great Stadium!"
"Ancestralpathfinder ","Reviewed May 28, 2013 ","Dossin Great Lakes Museum",No,4,"A Taste of Great Lakes Shipping History"
"Ancestralpathfinder ","Reviewed October 13, 2012 ","Detroit Institute of Arts",No,5,"A World-class gem!"
"andersbeme ","Reviewed July 23, 2012 ","Charles H. Wright Museum of African American History",No,5,"Really surprised"
"AndersFG ","Reviewed October 22, 2017 ","Little Caesars Arena",No,5,"The perfect NHL-arena"
"andersonbrenda835 ","Reviewed October 25, 2016 ","Detroit Institute of Arts",No,5,"when to a baby shower there very culture and rewarding"
"Andre E ","Reviewed January 17, 2017 ","Detroit Institute of Arts",No,4,"Lovely Museum ..especially the Diego rivera Mural"
"Andre E ","Reviewed October 11, 2017 ","Belle Isle Park",No,4,"Lovely Park in the Detroit River"
"Andre F ","Reviewed July 13, 2015 ","Ford Field",No,4,"Great NFL ambiance"
"Andrea B ","Reviewed July 31, 2014 ","Ford Field",No,5,"Wonderful facility!"
"Andrea B ","Reviewed June 12, 2017 ","Detroit RiverFront",No,5,"Peace in the city"
"Andrea B ","Reviewed June 19, 2017 ","Comerica Park",No,5,"Early Father&rsquos Day Outing"
"Andrea G ","Reviewed 3 weeks ago ","Charles H. Wright Museum of African American History",No,4,"Surpassed my expectations"
"Andrea N ","Reviewed May 28, 2013 ","Comerica Park",No,4,"Clean, easy to navigate and family friendly ballpark."
"Andrea P ","Reviewed January 12, 2016 ","Motown Museum",No,5,"Excellent tour guide"
"andreagD4027IJ ","Reviewed May 6, 2014 ","MGM Grand Detroit Casino",No,5,"beautiful place"
"Andreas W ","Reviewed April 4, 2017 ","Detroit Institute of Arts",No,4,"An art lover&rsquos paradise"
"Andree B ","Reviewed August 10, 2015 ",Mexicantown,No,5,"Real Mexican food, and good prices, very good restaurant."
"Andrei S ","Reviewed January 27, 2016 ","Comerica Park",No,5,"Great game day experience!"
"Andressagraciela ","Reviewed February 11, 2016 ","Detroit Institute of Arts",No,5,"Do visit - you won&rsquot regret it!"
"Andrew B ","Reviewed June 18, 2012 ","Detroit People Mover",No,2,eww
"Andrew B ","Reviewed June 2, 2012 ","Motown Museum",No,2,"small, hot and pricy."
"andrew c ","Reviewed October 2, 2017 ","Motown Museum",No,5,"Many a tear has to fall..."
"Andrew F ","Reviewed May 21, 2015 ","Detroit Institute of Arts",No,5,"Don&rsquot skip the DIA"
"Andrew F ","Reviewed October 29, 2015 ","Campus Martius Park",No,5,"Detroit at it&rsquos most vibrant!"
"Andrew H ","Reviewed July 5, 2016 ","Comerica Park",No,5,"TIGERS BABY!!!"
"Andrew H ","Reviewed October 30, 2013 ","MGM Grand Detroit Casino",No,4,"Best Casino in Detroit"
"Andrew L ","Reviewed July 16, 2017 ","Comerica Park",No,5,"The Detroit Tigers play here"
"Andrew M ","Reviewed February 1, 2016 ","The Guardian Building",No,4,"Beautiful art deco building from Detroit&rsquos heyday"
"Andrew M ","Reviewed March 17, 2015 ","Detroit Institute of Arts",No,5,"Detroits Cultural Gem"
"Andrew S ","Reviewed August 16, 2017 ","Detroit RiverFront",No,5,"Brimming with potential"
"Andrew S ","Reviewed December 8, 2015 ","Detroit Institute of Arts",No,5,"A must-see in Detroit"
"Andrew S ","Reviewed March 15, 2015 ","Detroit Institute of Arts",No,5,Amazing
"Andrew S ","Reviewed November 21, 2017 ","Little Caesars Arena",No,4,"State of the Art"
"Andrew S ","Reviewed November 30, 2017 ","Campus Martius Park",No,5,"Great for the holidays"
"Andrew S ","Reviewed September 14, 2017 ","The Guardian Building",No,5,"stop inside for a hidden gem"
"Andrew S ","Reviewed September 16, 2012 ","Motown Museum",No,4,"Musical Pilgrimage"
"Andrew T ","Reviewed April 1, 2017 ","Dossin Great Lakes Museum",No,5,"Surprise awesome experience"
"Andrew T ","Reviewed August 13, 2015 ","Ford Field",No,5,"Heaven on Earth"
"andrewbW737BY ","Reviewed June 11, 2016 ",Mexicantown,No,5,"Family Favourite!"
"andrewbW737BY ","Reviewed May 17, 2016 ","Comerica Park",No,5,"Best Ballpark in MLB!"
"andrewbY8839LG ","Reviewed December 30, 2016 ","Detroit Institute of Arts",No,5,Underrated
"AndrewReese ","Reviewed September 13, 2017 ","Comerica Park",No,5,"Caught a game"
"androidmilf ","Reviewed June 14, 2013 ","Detroit Institute of Arts",No,4,"Surprisingly for a city known for music and not art"
"Andy D ","Reviewed October 13, 2017 ",Mexicantown,No,5,"Awesome and Authentic"
"Andy H ","Reviewed August 1, 2015 ","Motown Museum",No,5,"Must Experience!!!"
"Andy M ","Reviewed August 15, 2011 ","Detroit Institute of Arts",No,5,Breathtaking.
"Andy S ","Reviewed November 11, 2013 ","Joe Louis Arena",No,5,"Nothing Beats Hockeytown"
"Andy T ","Reviewed August 19, 2015 ","Detroit Institute of Arts",No,5,"Birthday celebration"
"andy_and_lisa_2010 ","Reviewed May 28, 2013 ","Comerica Park",No,5,"A Detroit Tigers game is a great way to spend a sunny day"
"Andybacca ","Reviewed June 30, 2014 ","Detroit RiverFront",No,4,"Only went in the morning, but a great place to run!"
"andylanglais ","Reviewed February 29, 2012 ","Motown Museum",No,5,"It&rsquos a must !"
"andyn656 ","Reviewed November 3, 2016 ","Motown Museum",No,4,"Enjoyable, even if you&rsquore not a huge Motown fan!!"
"Ange425 ","Reviewed January 23, 2013 ","Detroit Symphony Orchestra",No,5,"Great music"
"Angel W ","Reviewed August 13, 2016 ","Belle Isle Park",No,5,"Detroit Gem"
"Angela A ","Reviewed March 21, 2017 ","Fisher Theatre",No,5,RENT
"Angela B ","Reviewed March 3, 2018 ","Tuskegee Airmen National Museum",No,4,"Not open in winter"
"Angela B ","Reviewed September 14, 2017 ","Detroit Institute of Arts",No,4,"DIA volunteers"
"Angela C ","Reviewed September 26, 2015 ","Detroit People Mover",No,5,"Good price for a cheap and safe way to get around Detroit"
"Angela G ","Reviewed August 28, 2014 ","Comerica Park",No,5,"Amazing ball park! "
"Angela H ","Reviewed June 22, 2015 ","Motown Museum",No,5,Amazing!
"Angela J ","Reviewed October 28, 2015 ","Motown Museum",No,4,"Great place to visit "
"Angela L ","Reviewed August 30, 2016 ","Charles H. Wright Museum of African American History",No,5,"Best Exhibit I&rsquove Seen In Recent Years"
"Angela P ","Reviewed January 24, 2017 ","MGM Grand Detroit Casino",No,5,"The Spa at MGM - AMAZING"
"Angela W ","Reviewed July 15, 2015 ","Eastern Market",No,5,"Great Fun!!"
"angela245 ","Reviewed May 30, 2012 ","Motown Museum",No,5,great
"angelasF1742DY ","Reviewed November 13, 2017 ","The Z Lot",No,5,"cool spot"
"angelasF1742DY ","Reviewed September 19, 2017 ","Detroit People Mover",No,4,"take a lap...."
"AngelBAK ","Reviewed August 31, 2014 ","Detroit Institute of Arts",No,5,"Absolutely Great"
"angeleyz827 ","Reviewed yesterday","MotorCity Casino",No,5,"Perfect place for a Sunday Funday in the &rdquoD&rdquo"
"Angelica L ","Reviewed June 14, 2012 ","Detroit RiverFront",No,5,"worth seeing"
"Angelicia R ","Reviewed September 27, 2015 ","Comerica Park",No,4,"Take Me Out to the Ball Game... :-)"
"angelictraveler115 ","Reviewed January 26, 2013 ","Cobo Center",No,4,"North American International Auto Show 2013 @ The Cobo"
"Angeline S ","Reviewed December 31, 2017 ","Two James Spirits",No,2,"Why was the bartender so rude "
"Angie B ","Reviewed September 10, 2015 ","Detroit RiverFront",No,5,"Checking out the Riverwalk"
"Angie B ","Reviewed September 9, 2015 ","Comerica Park",No,4,"Tiger baseball game"
"Angie C ","Reviewed August 12, 2017 ","Detroit Public Library",No,5,"Take a tour & be amazed!"
"Angie M ","Reviewed September 15, 2016 ","Comerica Park",No,4,"Great day"
"Angie P ","Reviewed March 1, 2014 ","GM Renaissance Center",No,5,"Tour was awesome"
"Angie_Ohio ","Reviewed January 17, 2016 ","Cobo Center",No,4,"Great location for the Auto Show"
"Angie_Reisefreunde ","Reviewed December 17, 2016 ","Belle Isle Park",No,5,"nice green getaway from the city"
"angieges ","Reviewed July 31, 2016 ","Detroit RiverFront",No,5,"The River Walk"
"AngieJ118 ","Reviewed December 29, 2016 ","Belle Isle Park",No,4,"Interesting Area"
"angryrose ","Reviewed July 12, 2014 ","Comerica Park",No,4,"Great stadium with its quirks"
"Anijo ","Reviewed October 3, 2017 ","Comerica Park",No,4,"Nice park"
"Anijo ","Reviewed September 25, 2017 ","Detroit People Mover",No,5,"Easy to get around"
