USERID,RATINGDATE,attractionname,viamobile,ratingscore,reviewtitle
"Anikathree S ","Reviewed May 23, 2017 ","Detroit Institute of Arts",No,5,Beautiful!
"Anita B ","Reviewed April 25, 2016 ","Motown Museum",No,5,"All my life..."
"Anita B ","Reviewed October 17, 2016 ","Eastern Market",No,5,"had a blast exploring Eastern Market"
"Anita S ","Reviewed March 26, 2017 ","Ford Field",No,4,"Very nice Venue"
"Anita S ","Reviewed October 26, 2014 ","Fisher Theatre",No,5,"The building is very nice & beautiful. We were there for the Motown Musical"
"Anita S ","Reviewed September 3, 2015 ","Detroit Institute of Arts",No,5,"A colossal treasure chest in the Motor City"
"Anitajoyce23 ","Reviewed November 14, 2016 ","Comerica Park",No,5,"Comericas great - now the tigers need to improve again"
"anjbee ","Reviewed January 4, 2017 ","Detroit RiverFront",No,5,"Incorrect string value"
"anjbee ","Reviewed October 28, 2017 ","Detroit Institute of Arts",No,5,Nice!
"anjbee ","Reviewed October 29, 2017 ",Greektown,No,4,"City Staple"
"Anjolynjan ","Reviewed July 20, 2015 ","Belle Isle Park",No,5,"The diamond is not so rough anymore!"
"Anjoyce ","Reviewed March 1, 2008 ","Greektown Casino",No,4,"love to visit there"
"anly ","Reviewed December 12, 2015 ","The Guardian Building",No,5,"Old Financial Building"
"Ann A ","Reviewed October 24, 2014 ","The Guardian Building",No,4,"A little &rdquosecret&rdquo gem"
"Ann B ","Reviewed June 30, 2014 ","Detroit People Mover",No,5,"Nice clean ride"
"Ann B ","Reviewed October 30, 2016 ","DNR Outdoor Adventure Center",No,5,"School Field Trip"
"Ann C ","Reviewed January 3, 2018 ","Comerica Park",No,5,"The Best Mac-N-Cheese in Town"
"Ann D ","Reviewed May 28, 2015 ","Comerica Park",No,5,"Go Tigers!"
"Ann G ","Reviewed April 13, 2017 ","DNR Outdoor Adventure Center",No,5,"great day out with the grandkids"
"Ann J ","Reviewed December 18, 2015 ","The Fillmore Detroit",No,5,"Great venue for a concert!"
"Ann M ","Reviewed June 30, 2016 ","Comerica Park",No,5,"Love this park!"
"Ann M ","Reviewed March 16, 2015 ","Detroit Institute of Arts",No,4,"Great wedge salad"
"Ann M ","Reviewed November 9, 2013 ","Detroit RiverFront",No,4,"Great place to race"
"Ann S ","Reviewed December 8, 2014 ","Detroit Institute of Arts",No,5,Impressive
"Ann W ","Reviewed July 10, 2015 ","The Guardian Building",No,5,"Don&rsquot Miss It"
"Ann W ","Reviewed July 11, 2015 ","Detroit Institute of Arts",No,5,"An Art Treasure"
"Ann W ","Reviewed July 19, 2015 ","Detroit People Mover",No,4,"A convenient curiosity"
"Anna C ","Reviewed December 6, 2015 ","Detroit Institute of Arts",No,5,"Beautiful exhibits, breathtaking cultural experience!"
"Anna S ","Reviewed July 22, 2014 ","Charles H. Wright Museum of African American History",No,5,"An excellent museum!"
"Anna W ","Reviewed April 15, 2014 ","Comerica Park",No,5,"Great ball park"
"Annabelle B ","Reviewed February 9, 2013 ","Detroit Institute of Arts",No,5,"Great Place"
"Annabelle C ","Reviewed October 2, 2017 ","Detroit Institute of Arts",No,5,"Love it"
"AnnArborTravelMan ","Reviewed July 20, 2012 ","Detroit Institute of Arts",No,5,"Visit a Detroit Gem"
"AnnaZ380 ","Reviewed August 7, 2012 ",Mexicantown,No,4,"Cheap Eats"
"annbell ","Reviewed June 17, 2012 ","Detroit Institute of Arts",No,5,Wow!
"AnnDG_12 ","Reviewed May 26, 2012 ","Detroit Institute of Arts",No,5,"World-class museum"
"AnnDG_12 ","Reviewed May 28, 2012 ","Motown Museum",No,5,"One of a kind"
"Anne B ","Reviewed February 6, 2016 ","The Ford Piquette Avenue Plant",No,5,"So many Fords, so little time..."
"Anne D ","Reviewed August 1, 2016 ","GM Renaissance Center",No,4,"If your in Dtroit you should stop here."
"Anne F ","Reviewed October 30, 2015 ","The Ford Piquette Avenue Plant",No,5,"Not to be missed"
"Anne F ","Reviewed September 10, 2015 ","Comerica Park",No,5,"Terrific Tiger Ballpark."
"Anne K ","Reviewed March 14, 2013 ","Detroit Institute of Arts",No,5,"A World Class Museum"
"Anne L ","Reviewed June 4, 2015 ","Comerica Park",No,5,"Great Day at the park! Hot dogs vary in price...."
"Anne Mary F ","Reviewed February 21, 2016 ","Campus Martius Park",No,5,"A Festive Location"
"Anne R ","Reviewed August 19, 2014 ","MotorCity Casino",No,1,"HORRIBLE EXPERIENCE!"
"Anne R ","Reviewed November 8, 2017 ","Detroit Institute of Arts",No,5,DIA
"Anne W ","Reviewed August 5, 2014 ","Comerica Park",No,4,"Nice ball park"
"Anne W ","Reviewed January 28, 2013 ","Comerica Park",No,4,"Not even a fan but I really enjoyed it"
"Anne W ","Reviewed July 7, 2016 ",Greektown,No,1,"Not Greektown anymore"
"Anne W ","Reviewed June 6, 2013 ","Belle Isle Park",No,2,"Former City Jewel needs some work"
"Anne-marie A ","Reviewed April 20, 2016 ","Comerica Park",No,4,"Nice views of field, close parking,"
"Anne-marie A ","Reviewed May 17, 2017 ","Detroit Repertory Theatre",No,5,"Unique professional theatre"
"AnneCowdale ","Reviewed September 22, 2013 ","Detroit Institute of Arts",No,5,"5 hours later"
"AnneH2663 ","Reviewed October 15, 2013 ","Detroit Institute of Arts",No,5,"DIA is awesome"
"Anneke F ","Reviewed March 8, 2018 ","Detroit Institute of Arts",No,5,"Amazing museum! Must see for art lovers"
"AnneSoCa ","Reviewed February 18, 2015 ","Comerica Park",No,5,"Great park!"
"annessy1 ","Reviewed January 21, 2017 ","Detroit Institute of Arts",No,5,"Wonderful experience"
"AnneStCroix ","Reviewed September 6, 2015 ","Detroit Institute of Arts",No,4,"Smaller museum"
"Annette G ","Reviewed September 21, 2015 ","Comerica Park",No,3,"Tired baseball stadium...needs updating"
"Annette J ","Reviewed March 4, 2018 ","Detroit Institute of Arts",No,5,"World Class Museum - a Gem"
"Annie J ","Reviewed September 7, 2014 ","Motown Museum",No,5,"My music. My memories."
"Annie Y ","Reviewed December 21, 2011 ","Motown Museum",No,5,"Out of the past"
"Annie48915 ","Reviewed January 21, 2012 ","Fox Theatre",No,5,"lovely old bulding"
"AnnieB952 ","Reviewed January 17, 2014 ",Mexicantown,No,5,"Mexican Town"
"AnnonTraveler5150 ","Reviewed October 11, 2015 ","GM Renaissance Center",No,4,"Fun spot for an event"
"Anonymous855 ","Reviewed October 13, 2014 ","The Guardian Building",No,4,"Just got to love free walking tours!"
"Anonymous925 ","Reviewed August 2, 2016 ","Detroit RiverFront",No,4,"Seems to be the Only Part of Downtown that is Busy"
"another_traveler0104 ","Reviewed November 16, 2011 ","Detroit Institute of Arts",No,4,"Great way to spend three hours"
"AntepJohn ","Reviewed 1 week ago","Charles H. Wright Museum of African American History",No,5,"SURPRISING COLLECTION"
"AntepJohn ","Reviewed 2 days ago ","Detroit Institute of Arts",No,5,"FANTASTIC DOCENTS"
"Anthony A ","Reviewed February 22, 2012 ","Comerica Park",No,4,"If in town you must see!"
"Anthony B ","Reviewed October 15, 2015 ","Ford Field",No,5,"if there is a game on you must visit"
"Anthony C ","Reviewed October 30, 2013 ","MGM Grand Detroit Casino",No,4,"Palette Dining Studio"
"ANTHONY G ","Reviewed June 30, 2017 ","Detroit People Mover",No,3,Easy
"Anthony H ","Reviewed July 4, 2017 ","The Guardian Building",No,5,"An incredible building worth a walk through."
"Anthony J ","Reviewed January 21, 2016 ","Charles H. Wright Museum of African American History",No,5,"Very educational"
"Anthony N ","Reviewed June 26, 2016 ","Comerica Park",No,3,"Sat 4 pm"
"Anthony N ","Reviewed September 6, 2015 ","Michigan Science Center",No,5,"Gem of a small science center"
"Anthony R ","Reviewed July 10, 2017 ","Comerica Park",No,4,"Great summertime Balpark"
"Anthony S ","Reviewed July 10, 2017 ","Comerica Park",No,5,"Go to the TOP"
"Anthony T ","Reviewed 2 weeks ago ","Woodward Avenue",No,4,"Magnificent Main Street of Motown"
"Anthony T ","Reviewed 3 weeks ago ","Charles H. Wright Museum of African American History",No,5,"The Amazing Annals of a Resolute People Respectfully Recounted"
"Anthony T ","Reviewed April 8, 2017 ","Belle Isle Park",No,5,"A Touch of the Country in the Midst of a Densely Populated Industrial Hub!!"
"Anthony T ","Reviewed February 10, 2016 ","Detroit People Mover",No,4,"Best circle ride around Detroit!"
"Anthony T ","Reviewed February 27, 2018 ","Ambassador Bridge",No,5,"Ambient Ambassador To The Queens Commonwealth"
"Anthony T ","Reviewed July 30, 2016 ","Detroit RiverFront",No,5,"Deep -BLUE,bright andBEAUTIFUL international strait between the great POWERS of the Western hemisphere"
"Anthony T ","Reviewed March 13, 2017 ","The Guardian Building",No,5,IMMACULATE&rdquoEye-candy&rdquoLobby
"Anthony T ","Reviewed March 30, 2017 ","Detroit-Windsor Tunnel",No,5,"Delightful Doorway to the Dominion"
"Anthonyinjhb ","Reviewed April 26, 2016 ","Greektown Casino",No,5,"Excellent hotel"
"Anthonyinjhb ","Reviewed May 1, 2017 ","Detroit RiverFront",No,5,"Interetsing walk"
"Antietam1932 ","Reviewed September 8, 2016 ","Detroit RiverFront",No,5,"Bike the Detroit river"
"Antiquelover2 ","Reviewed June 5, 2012 ","Comerica Park",No,5,"A little hard to navigate to for us, but great park!"
"AntonAnderssen ","Reviewed April 23, 2012 ","Detroit People Mover",No,1,"Save your money"
"Antonio A ","Reviewed July 11, 2016 ","MGM Grand Detroit Casino",No,3,Casino
"Antonio P ","Reviewed October 23, 2016 ","Detroit People Mover",No,5,"Easy to use"
"Anuj S ","Reviewed June 25, 2016 ","Belle Isle Park",No,4,"Beautiful small island, for a relaxed sunny day !!!!"
"AnupThampi ","Reviewed May 18, 2016 ","GM Renaissance Center",No,5,"A view of tri tower"
"anvilmike ","Reviewed January 30, 2012 ",Greektown,No,5,"DONT FIGHT THE COLD WEATHER"
"Apes44 ","Reviewed February 2, 2016 ","Comerica Park",No,5,"Great ballpar"
"aphillips005 ","Reviewed May 5, 2016 ","Detroit Institute of Arts",No,5,"World Class Museum"
"APL708 ","Reviewed January 15, 2017 ","Detroit People Mover",No,4,"Typical Subway-like Transit "
"applegirl57 ","Reviewed 2 weeks ago","Joe Louis Arena",No,2,CLOSED
"applegirl57 ","Reviewed April 9, 2013 ","Comerica Park",No,5,"Opening Day, 2013"
"applegirl57 ","Reviewed December 15, 2015 ","Ford Field",No,5,"Green Bay vs. Lions--Thursday night football"
"applegirl57 ","Reviewed December 29, 2012 ","Fox Theatre",No,5,"Gorgeous venue/Great performances"
"applegirl57 ","Reviewed December 30, 2015 ","Michigan Science Center",No,5,"Great place to bring the kids (and kids-at-heart)"
"applegirl57 ","Reviewed February 8, 2013 ","Detroit Symphony Orchestra",No,5,"Beethoven Festival"
"applegirl57 ","Reviewed January 6, 2013 ","Masonic Temple",No,4,"Saw Patti Smith&rsquos Christmas concert at the Masonic"
"applegirl57 ","Reviewed July 21, 2017 ","Belle Isle Park",No,5,"Great place to ride a bicycle"
"applegirl57 ","Reviewed July 27, 2017 ","West Riverfront Park",No,5,"My Backyard"
"applegirl57 ","Reviewed July 28, 2014 ","The Guardian Building",No,5,"The Rowland---a true gem in the heart of Detroit"
"applegirl57 ","Reviewed July 29, 2013 ","Detroit Institute of Arts",No,5,"World Class Museum in the heart of The Motor City"
"applegirl57 ","Reviewed March 22, 2015 ","GM Renaissance Center",No,5,"Iconic Building Complex in the New Motor City!"
"applegirl57 ","Reviewed May 21, 2013 ","Detroit RiverFront",No,5,"Truly one of the gems of Detroit"
"applegirl57 ","Reviewed November 30, 2014 ","Fisher Building",No,5,"A stunning classic"
"applegirl57 ","Reviewed October 16, 2012 ","Detroit Institute of Arts",No,5,"A Museum on a par with the great museums of the world"
"applegirl57 ","Reviewed October 22, 2012 ","Motown Museum",No,5,"Living History"
"applegirl57 ","Reviewed October 28, 2012 ","Detroit Opera House",No,5,"Wonderful place in the Detroit cultural scene"
"applegirl57 ","Reviewed September 8, 2016 ","Hart Plaza",No,4,"Jazz Fest Delight"
"AppNeer ","Reviewed August 14, 2015 ","Ford Field",No,5,#RiseUpELCA
"April F ","Reviewed 4 weeks ago",Greektown,No,5,Pegasus
"April G ","Reviewed September 12, 2015 ","Charles H. Wright Museum of African American History",No,5,Educational
"AprilB6 ","Reviewed September 23, 2012 ","Fox Theatre",No,5,"Cool Concert Venue"
"AprilinCali ","Reviewed May 15, 2017 ","GM Renaissance Center",No,3,"Guide was the best part"
"AR4024 ","Reviewed 4 weeks ago","Belle Isle Park",No,4,"Fun day"
"ARadcliffe10 ","Reviewed October 24, 2012 ","Detroit RiverFront",No,5,"Nice walk with a great view"
"araz z ","Reviewed May 2, 2017 ","Detroit Historical Museum",No,5,"Detroit&rsquos best"
"archiebird4291 ","Reviewed May 7, 2012 ","Detroit Institute of Arts",No,5,"7th Grade Class trip"
"archiscot ","Reviewed September 13, 2012 ","Detroit Institute of Arts",No,5,"Great collection"
"archiscot ","Reviewed September 27, 2013 ","Motown Museum",No,5,"Motown next generation"
"archiscot ","Reviewed September 30, 2014 ","Anna Scripps Whitcomb Conservatory",No,5,"Beautiful Belle Isle"
"ardeal22 ","Reviewed October 17, 2016 ","Fox Theatre",No,5,"Magical &rdquoIl Divo&rdquo concert."
"Ardele M ","Reviewed May 16, 2016 ","The Heidelberg Project",No,5,"One of a kind experience."
"Arell L ","Reviewed May 28, 2015 ","Detroit-Windsor Tunnel",No,4,"Tunnel personnel need some manners"
"Argott77 ","Reviewed May 12, 2015 ","Detroit Institute of Arts",No,5,"Frida & Diego!!!"
"Argyris T ","Reviewed July 29, 2013 ","Detroit Institute of Arts",No,5,"Much to offer"
"Arianne907 ","Reviewed January 20, 2018 ","Motown Museum",No,5,"Mother & Daughter - “Hearing a Symphony” - Dec 2016"
"Arika H ","Reviewed March 28, 2016 ","Joe Louis Arena",No,5,"Joe Louis Arena "
"ArizonaDawna ","Reviewed July 13, 2015 ","Detroit Institute of Arts",No,5,"A Treasure for Detroit"
"Arjun J ","Reviewed July 30, 2015 ","Detroit RiverFront",No,4,"Great way to relax in the evening.."
"Arjun K ","Reviewed April 16, 2015 ","Detroit Downtown",No,4,"Height of human civilisation"
"Arjun K ","Reviewed January 27, 2015 ","Detroit Institute of Arts",No,3,"I need to spend some more time!!"
"Arjun P ","Reviewed June 13, 2017 ","Ambassador Bridge",No,4,"Good Border Crossing"
"Arjun P ","Reviewed June 17, 2016 ","Cobo Center",No,5,NAIAS
"Arjun P ","Reviewed June 26, 2017 ","Detroit-Windsor Tunnel",No,4,"Windsor Visits"
"ARKSugarLand ","Reviewed October 14, 2015 ","MGM Grand Detroit Casino",No,5,"What a blast in the Motor City"
"Arlene734 ","Reviewed October 2, 2016 ","Historic Fort Wayne",No,3,"Fort Wayne Ghost walk"
"Armando E ","Reviewed September 23, 2013 ","Detroit Institute of Arts",No,5,stunning
"army_arch ","Reviewed November 8, 2014 ","Detroit Institute of Arts",No,5,"Wonderful museum!"
"Arnell H ","Reviewed October 30, 2016 ","Cobo Center",No,4,"CME Celebration"
"Arnie055 ","Reviewed February 14, 2018 ","Motown Museum",No,5,Intetesting
"arnieb2 ","Reviewed February 16, 2012 ","Comerica Park",No,5,"Summer in Detroit!!"
"arnold s ","Reviewed August 4, 2015 ","Motown Museum",No,4,"Music history"
"arnold s ","Reviewed September 9, 2015 ",Mexicantown,No,4,"Mondays Canadian"
"Arnold W ","Reviewed July 19, 2017 ","Detroit RiverFront",No,5,"Yes, Detroit has a River Front and it&rsquos FAN-TASTIC!"
"Arnon G ","Reviewed February 12, 2014 ","Detroit Institute of Arts",No,5,"Wonderful Art Collection"
"ARP313 ","Reviewed September 21, 2014 ","Detroit Institute of Arts",No,5,"World Class Museum, Underappreciated locally"
"ArrowVoyager ","Reviewed September 11, 2017 ","Michigan Central Station",No,5,"Coll Abandoned space!"
"ArrowVoyager ","Reviewed September 13, 2017 ",Mexicantown,No,5,"The Best part of Detroit"
"Art d ","Reviewed July 23, 2016 ","Detroit Institute of Arts",No,5,"A Jewel of the city"
"Art48455 ","Reviewed April 6, 2017 ","Motown Museum",No,5,"Fun afternoon visit "
"Art48455 ","Reviewed February 15, 2016 ","Bonstelle Theatre",No,3,"Great performance in a ice cold theatre"
"ArtByKatrina ","Reviewed April 24, 2013 ","Detroit-Windsor Tunnel",No,4,"Why support Matty Maroun?"
"artgurl33 ","Reviewed November 9, 2017 ","Hart Plaza",No,3,"Not fun unless you visit during an event"
"artgurl33 ","Reviewed October 14, 2017 ","Detroit Institute of Arts",No,5,"Huge Museum! Takes at least half a day! "
"artgurl33 ","Reviewed October 15, 2017 ","The Spirit of Detroit",No,5,"Worth the trip downtown to see it"
"arthistory4me ","Reviewed August 24, 2014 ","Detroit Institute of Arts",No,5,"An absolute must!"
"arthur k ","Reviewed September 7, 2017 ","Ford Field",No,4,"U2 concert "
"Arthur M ","Reviewed March 15, 2016 ","Detroit Institute of Arts",No,5,"a world-class museum"
"Arthur R ","Reviewed October 4, 2016 ","Belle Isle Park",No,4,"Worth the trip when in the D"
"Arthur V ","Reviewed November 30, 2012 ","Detroit Institute of Arts",No,5,"DIA has one of the finest art collections in the United States."
"Arthur W ","Reviewed July 21, 2017 ","Comerica Park",No,5,"First Tigers Game"
"Artisteyes ","Reviewed May 2, 2015 ","Detroit Institute of Arts",No,5,"My formative Museum"
"Artly_Funn ","Reviewed February 22, 2016 ","Joe Louis Arena",No,1,"The staff stinks."
"artnants ","Reviewed July 4, 2013 ","Detroit RiverFront",No,5,"How to Get a Cab Across the Border from Detroit to Windsor"
"arts20th ","Reviewed September 30, 2014 ","Detroit Institute of Arts",No,5,"World-class museum!"
"Arty72 ","Reviewed October 14, 2013 ",Greektown,No,4,"Most fun around"
"Arun K ","Reviewed April 15, 2017 ","Motown Museum",No,5,"Standing in the Shadows of Legends"
"Arun K ","Reviewed April 19, 2017 ","Detroit Institute of Arts",No,5,"Come for the Rivera; stay for the Courtyard and the Contemporary Art"
"arun k ","Reviewed January 26, 2017 ","Cobo Center",No,3,"very big hall"
"aruthanne ","Reviewed September 4, 2017 ","Belle Isle Park",No,4,"Recreational Island Day Retreat "
"asalesky ","Reviewed October 11, 2014 ","Sound Board Theater",No,5,"Over the Moon on Gladys Knight"
"asaling ","Reviewed March 4, 2017 ","Eastern Market",No,4,"Brisk shopping day"
"ascot22ee ","Reviewed October 3, 2017 ","Comerica Park",No,5,"Baseball game"
"asfiabrendan ","Reviewed November 26, 2017 ","Detroit Institute of Arts",No,5,"Well worth a visit"
"Asfour2015 ","Reviewed August 9, 2015 ","Ambassador Bridge",No,1,"Beware of gas "
"Ash O ","Reviewed July 13, 2015 ","Detroit Institute of Arts",No,5,"Very good museum with great staff"
"AshAsh W ","Reviewed June 4, 2013 ","Belle Isle Park",No,5,"love it"
"Ashish B ","Reviewed April 1, 2017 ","The Heidelberg Project",No,2,"Don&rsquot waste time here unless you are staying nearby"
"Ashley A ","Reviewed September 21, 2016 ","Campus Martius Park",No,5,"Very relaxing lunch"
"Ashley D ","Reviewed October 23, 2016 ","Motown Museum",No,4,"Like stepping back in time!"
"Ashley G ","Reviewed May 5, 2013 ","Ford Field",No,5,"Loved it here, huge!"
"Ashley L ","Reviewed September 6, 2017 ","Comerica Park",No,5,"Always a great time"
"Ashley M ","Reviewed January 2, 2016 ","Greektown Casino",No,4,"Good casino! "
"Ashley S ","Reviewed August 26, 2016 ","Comerica Park",No,5,"Tigers Game vs Red Sox!"
"Ashley S ","Reviewed May 26, 2017 ","Detroit RiverFront",No,3,"Quick walk down the river"
"Ashok2906 ","Reviewed August 28, 2017 ","Detroit RiverFront",No,4,"Nice stroll on river front."
"Ashton P ","Reviewed August 2, 2015 ","MGM Grand Detroit Casino",No,3,"It&rsquos the best casino in Detroit...by far!"
"asiantraveler2017 ","Reviewed January 22, 2018 ","Detroit Institute of Arts",No,5,"Why not go if it&rsquos free for Wayne, Oakland and Macomb residents?"
"Asiantraveler53 ","Reviewed July 10, 2015 ","Detroit Institute of Arts",No,5,"Amazing collection"
"Asiri S ","Reviewed December 4, 2015 ","Eastern Market",No,5,"Home grown Produce"
"asocialb ","Reviewed October 10, 2010 ","The Heidelberg Project",No,4,"Gave me a different perspective on one of the worst areas in Detroit"
"Assiazar ","Reviewed April 13, 2016 ","The Heidelberg Project",No,5,"What an amazing project"
"Astro W ","Reviewed June 27, 2016 ","Joe Louis Arena",No,5,"My Review"
"astroblacks ","Reviewed July 25, 2016 ","Michigan Central Station",No,4,"Wonderful abandoned building"
"aswezey ","Reviewed August 25, 2017 ","Motown Museum",No,5,"Hello from New York "
"atbw ","Reviewed January 6, 2017 ","Second Baptist Church",No,4,"Key piece of American history!"
"ateenagetraveler ","Reviewed July 31, 2016 ","Detroit Institute of Arts",No,3,"Good for a rainy day"
"Atira C ","Reviewed February 14, 2016 ","Joe Louis Arena",No,3,"Comedy Show"
"ATL_Jacket ","Reviewed July 16, 2017 ","Detroit Institute of Arts",No,5,"World-class Musuem"
"ATL_Jacket ","Reviewed July 17, 2017 ","MotorCity Casino",No,2,"It&rsquos a Casino..."
"ATL_Jacket ","Reviewed July 19, 2017 ","Masonic Temple",No,5,"Detroit&rsquos Best Attraction"
"atlas750 ","Reviewed March 15, 2013 ","Detroit Institute of Arts",No,5,"One of the great U.S. Art Museums, the Rivera is worth the visit."
"ATrav64 ","Reviewed April 29, 2012 ","Detroit Institute of Arts",No,5,"Great Art!"
"atthe ","Reviewed March 2, 2017 ","Max M. Fisher Music Center",No,5,"Gorgeous Detroit Gem!"
"atti2ud ","Reviewed July 7, 2015 ","Comerica Park",No,4,"great park for ball"
"Atticangel1 ","Reviewed December 7, 2016 ","Joe Louis Arena",No,5,"The Who"
"Aude48214 ","Reviewed August 2, 2014 ","Michigan Science Center",No,2,"With regret"
"Audrey532 ","Reviewed March 31, 2015 ","Detroit Institute of Arts",No,5,"Nice place to meet up for a date"
"august2now ","Reviewed February 25, 2018 ","Little Caesars Arena",No,2,"Attended a Red Wings hockey game"
"august2now ","Reviewed March 3, 2018 ",Greektown,No,5,"Bus trip to Greektown Casino"
"auntiekat ","Reviewed March 11, 2018 ","Detroit People Mover",No,5,"Very convenient!"
"AuroraAurora_Ontario ","Reviewed September 3, 2012 ","Detroit-Windsor Tunnel",No,3,"too much traffic"
"Aussie421 ","Reviewed January 31, 2012 ","Cobo Center",No,3,"Outdated and boring"
"AussiesfromSydney ","Reviewed September 10, 2011 ","Motown Museum",No,5,"Very informative and interesting. Glad we went."
"Austin R ","Reviewed February 11, 2016 ","Detroit Institute of Arts",No,5,"Spent a full day here. Not quite enough time. "
"Austy488 ","Reviewed February 27, 2014 ","Comerica Park",No,4,Ballpark
"autismadvocate ","Reviewed December 3, 2017 ","Belle Isle Park",No,5,"Water Fountains, Botanical Garden, Park, River, City Skylines"
"Autumn M ","Reviewed January 18, 2015 ","Two James Spirits",No,4,"Cool place "
"autumnbrowning1 ","Reviewed January 5, 2018 ","Detroit Institute of Arts",No,5,"Beautiful, great docents"
"Ava I ","Reviewed March 17, 2017 ","The Guardian Building",No,5,"Soooo Pretty!"
"Ava W ","Reviewed May 7, 2017 ","Detroit Institute of Arts",No,5,"Wonderful museum "
"Aventuryn ","Reviewed November 26, 2017 ","Detroit Institute of Arts",No,5,"Incredible collection of Art"
"averagenorwegian ","Reviewed April 23, 2014 ","Detroit Historical Museum",No,5,"History buffs rejoice"
"AVHudnall ","Reviewed August 7, 2016 ","Motown Museum",No,5,"Where it All Started"
"Avidtraveler2 ","Reviewed July 15, 2009 ",Greektown,No,5,"I love going back here!!"
"avidtraveller027 ","Reviewed July 9, 2012 ","Detroit Institute of Arts",No,4,"Great Museum"
"avis f ","Reviewed September 30, 2012 ","Fox Theatre",No,4,goodtime
"avmm3 ","Reviewed December 14, 2015 ","Eastern Market",No,4,"Awesome little find!"
"avmm3 ","Reviewed September 10, 2013 ","Belle Isle Park",No,5,"Not what I expected!"
"awall13 ","Reviewed August 28, 2016 ","Comerica Park",No,5,"Great place to watch a ballgame."
"awesomereviews ","Reviewed April 29, 2012 ","Charles H. Wright Museum of African American History",No,3,"Very outdated"
"Awfu ","Reviewed August 15, 2013 ","Charles H. Wright Museum of African American History",No,5,Awesome!
"AWittyMoniker ","Reviewed January 28, 2011 ","Greektown Casino",No,3,"Doesn&rsquot deserve all the negative reviews"
"awomansopinion ","Reviewed September 25, 2011 ","MGM Grand Detroit Casino",No,5,"By far the best midwest casino"
"AXA_RUNNER99 ","Reviewed January 19, 2016 ","Cobo Center",No,5,NAIAS
"Axel S ","Reviewed January 17, 2012 ","Detroit People Mover",No,1,"Just so Detroit"
"axpjester ","Reviewed May 30, 2013 ","Comerica Park",No,5,"Tiger Den"
